"VENDOR_CODE","POI_NAME","CITY_NAME","STATE_CODE","COUNTRY_CODE","LATITUDE","LONGITUDE"
"AAA","Anaa","Anaa","","PF",-17.354167,-145.49611100000001
"AAC","El Arish, Sinai","El Arish","","EG",31.077221999999999,33.832222000000002
"AAE","Annaba","Annaba","","DZ",36.821666999999998,7.8099999999999987
"AAH","Merzbrueck Airport","Aachen","","DE",50.823055555555555,6.186388888888889
"AAL","Aalborg","Aalborg","","DK",57.093055999999997,9.8499999999999996
"AAM","Mala Mala Airport","Mala Mala","","ZA",-24.8,31.533333333333335
"AAN","Al Ain","Al Ain","","OM",24.260000000000002,55.608055999999998
"AAQ","Anapa","Anapa","","RU",45.001666999999998,37.348332999999997
"AAR","Aarhus","Aarhus","","DK",56.300556000000007,10.620278000000001
"AAT","Altay","Altay","","CN",47.75,87.75
"AAX","Araxa","Araxa","MG","BR",-19.568055999999999,-46.929167
"AAY","Al Ghaydah","Al Ghaydah","","YE",16.199999999999999,52.183332999999998
"ABA","Abakan","Abakan","","RU",53.731667000000002,91.368333000000007
"ABD","Abadan","Abadan","","IR",30.366667,48.233333000000002
"ABE","Allentown/Bethlehem/Easton","Allentown","PA","US",40.652777999999998,-75.439999999999998
"ABI","Abilene","Abilene","TX","US",32.411110999999998,-99.681388999999996
"ABJ","Abidjan","Abidjan","","CI",5.2508330000000001,-3.9288889999999999
"ABK","Kabri Dar","Kebri Dehar","","ET",6.7338889999999996,44.266111000000002
"ABL","Ambler","Ambler","AK","US",67.087500000000006,-157.845833
"ABM","Bamaga,Queensland","Bamaga","QL","AU",-10.949999999999999,142.46000000000001
"ABQ","Albuquerque","Albuquerque","NM","US",35.041666999999997,-106.606111
"ABR","Aberdeen","Aberdeen","SD","US",45.449722000000001,-98.421110999999996
"ABS","Abu Simbel, Arab Repub.","Abu Simbel","","EG",22.372222000000001,31.608889000000001
"ABT","Al Baha","Al Baha","","SA",20.295832999999998,41.633889000000003
"ABV","Abuja","Abuja","","NG",9.0136109999999992,7.269444
"ABX","Albury","Albury","VI","AU",-36.068333000000003,146.97666699999999
"ABY","Albany","Albany","GA","US",31.535278000000002,-84.194444000000004
"ABZ","Aberdeen, Scotland","Aberdeen","","GB",57.204166999999998,-2.1986110000000001
"ACA","Acapulco","Acapulco","","MX",16.756111000000001,-99.753611000000006
"ACC","Accra","Accra","","GH",5.5963890000000003,-0.17000000000000001
"ACE","Arrecife, Canary Islands","Lanzarote","","ES",28.944167,-13.603611000000001
"ACH","Altenrhein","Altenrhein","","CH",47.476666999999999,9.5500000000000007
"ACI","Alderney, Channel Islands","Alderney","","GB",49.706944,-2.2152780000000001
"ACK","Nantucket","Nantucket","MA","US",41.252777999999999,-70.060556000000005
"ACP","Sahand Airport","Sahand","","IR",37.35444444444445,46.14972222222222
"ACT","Waco","Waco","TX","US",31.611111000000001,-97.228611000000001
"ACV","Arcata/Eureka","Arcata","CA","US",40.978056000000002,-124.10722199999999
"ACY","NAFEC Atlantic Cty","Atlantic City","NJ","US",39.456667000000003,-74.578056000000004
"ADA","Adana","Adana","","TR",36.983611000000003,35.280833000000001
"ADB","Izmir,Turkey - Menderes Apt","Izmir","","TR",38.295833000000002,27.159167
"ADD","Addis Ababa","Addis Ababa","","ET",8.975832999999998,38.798056000000003
"ADE","Aden","Aden","","YE",12.827500000000001,45.031388999999997
"ADF","Adiyaman","Adiyaman","","TR",37.760832999999998,38.274999999999999
"ADJ","Marka Intl, Amman","Amman","","JO",31.972221999999999,35.990000000000002
"ADK","Adal Island","Adak Island","AK","US",51.883056000000003,-176.64833300000001
"ADL","Adelaide","Adelaide","SA","AU",-34.946389000000003,138.52944400000001
"ADM","Ardmore","Ardmore","OK","US",34.303333000000002,-97.016943999999995
"ADQ","Kodiak Airport","Kodiak","AK","US",57.754167000000002,-152.48333299999999
"ADU","Ardabil","Ardabil","","IR",38.331389000000001,48.431111000000001
"ADW","Andrews A.F.B.","Camp Springs","MD","US",38.810555999999998,-76.867221999999998
"ADX","Leuchars AFB, Scotland","St Andrews","","GB",56.373055999999998,-2.8672219999999999
"ADZ","San Andres Island","San Andres Island","","CO",12.585832999999999,-81.722499999999982
"AEO","Aioun El Atrouss","Aioun el Atrouss","","MR",16.709167000000001,-9.6355559999999993
"AEP","Jorge Newbery/Buenos Aires","Buenos Aires","BA","AR",-34.566667000000002,-58.416666999999997
"AER","Adler/Sochi","Sochi","","RU",43.450000000000003,39.933332999999998
"AES","Aalesund","Aalesund","","NO",62.561110999999997,6.1141670000000001
"AET","Allakaket","Allakaket","AK","US",66.561667,-152.658333
"AEX","Alexandria Intl.","Alexandria","LA","US",31.326944000000001,-92.548056000000003
"AEY","Akureyri","Akureyri","","IS",65.655833000000001,-18.076388999999999
"AFA","San Rafael","San Rafael","MD","AR",-34.583333000000003,-68.400000000000006
"AFL","Alta Floresta","Alta Floresta","MT","BR",-9.8661110000000001,-56.104444000000001
"AFO","Afton","Afton","WY","US",42.716667000000001,-110.933333
"AFT","Afutara Aerodrome","Afutara","","SB",-9.2,160.85
"AGA","Agadir","Agadir","","MA",30.324722000000001,-9.4130559999999992
"AGB","Augsburg","Munich","","DE",48.426110999999999,10.933056000000001
"AGF","Agen","Agen","","FR",44.166666999999997,0.58333299999999999
"AGH","Angelholm/Helsingborg","Angelholm/Helsingborg","","SE",56.291389000000002,12.857778
"AGL","Wanigela","Wanigela","","PG",-9.3402779999999996,149.15527800000001
"AGN","Angoon","Angoon","AK","US",57.503889000000001,-134.58333300000001
"AGP","Malaga","Malaga","","ES",36.674999999999997,-4.4994440000000004
"AGR","Agra","Agra","","IN",27.158332999999999,77.962778
"AGS","Augusta","Augusta","GA","US",33.369722000000003,-81.964444
"AGT","Ciudad del Este","Ciudad del Este","","PY",-25.516667000000002,-54.528333000000003
"AGU","Aguascalientes","Aguascalientes","","MX",21.700278000000001,-102.317222
"AHB","Abha","Abha","","SA",18.239999999999998,42.655555999999997
"AHE","Ahe Airport","Ahe","","PF",-14.428055555555554,-146.25694444444446
"AHN","Athens","Athens","GA","US",33.948332999999998,-83.326943999999983
"AHO","Alghero/Sassari","Alghero","","IT",40.630555999999999,8.2888889999999993
"AHS","Ahuas","Ahuas","","HN",15.472778,-84.351388999999998
"AHU","Al Hoceima","Al Hoceima","","MA",35.183332999999998,-3.8333330000000001
"AIA","Alliance","Alliance","NE","US",42.053055999999998,-102.803056
"AIC","Airok","Airok","PC","MH",7.0999999999999996,171.23333299999999
"AIM","Ailuk","Ailuk Island","PC","MH",10.199999999999999,169.97666699999999
"AIN","Wainwright","Wainwright","AK","US",70.630555999999999,-160.04305600000001
"AIT","Aitutaki","Aitutaki Island","","CK",-18.850000000000001,-159.75
"AIU","Atiu, Cook Is., S. Pacific","Atiu Island","","CK",-20.033332999999999,-158.09999999999999
"AIY","Bader Field","Atlantic City","NJ","US",39.359999999999999,-74.457222000000002
"AJA","Ajaccio, Corsica","Ajaccio","","FR",41.924166999999997,8.8030559999999998
"AJF","Jouf","Jouf","","SA",29.785278000000002,40.098889
"AJI","Agri/Karakose","Agri","","TR",39.663611000000003,43.023333000000001
"AJL","Aijal","Aizawl","","IN",23.733332999999998,92.716667000000001
"AJR","Arvidsjaur","Arvidsjaur","","SE",65.591389000000007,19.285833
"AJU","Aracaju","Aracaju","SE","BR",-10.984999999999999,-37.073332999999998
"AKB","Atka","Atka","AK","US",52.220278,-174.20611099999999
"AKE","Akieni","Akieni","","GA",-1.1666669999999999,13.883333
"AKF","Kufrah","Kufra","","LY",24.176943999999999,23.315277999999999
"AKG","Anguganak","Anguganak","","PG",-3.5666669999999998,142.19999999999999
"AKH","Prince Sultan Air Base","Al Kharj","","SA",24.063333333333333,47.580555555555556
"AKI","Akiak","Akiak","AK","US",60.905555999999997,-161.223333
"AKJ","Asahikawa","Asahikawa","","JP",43.670833000000002,142.45138900000001
"AKK","Akhiok","Akhiok","AK","US",56.950000000000003,-154.16666699999999
"AKL","Auckland","Auckland","","NZ",-37.009999999999998,174.79138900000001
"AKN","King Salmon","King Salmon","AK","US",58.677500000000002,-156.64694399999999
"AKP","Anaktuvik Pass","Anaktuvuk","AK","US",68.137500000000003,-151.74000000000001
"AKS","Auki","Auki","","SB",-8.697777999999996,160.68083300000001
"AKU","Aksu","Aksu","","CN",38.666666999999997,75.666667000000004
"AKV","Akulivik, N.W.T.","Akulivik","NT","CA",60.733333000000002,-78.583332999999982
"AKX","Aktyubinsk","Aktobe","","KZ",50.25,57.216667000000001
"AKY","Akyab","Sittwe","","MM",20.130278000000001,92.880278000000004
"ALA","Alma-Ata","Almaty","","KZ",43.350000000000001,77.016666999999998
"ALB","Albany","Albany","NY","US",42.747777999999997,-73.803332999999981
"ALC","Alicante","Alicante","","ES",38.282221999999997,-0.558056
"ALF","Alta","Alta","","NO",69.976111000000003,23.371110999999999
"ALG","Algiers","Algiers","","DZ",36.694443999999997,3.217778
"ALH","Albany","Albany","WA","AU",-34.945,117.80583300000001
"ALJ","Alexander Bay","Alexander Bay","","ZA",-28.572778000000003,16.535
"ALM","Alamagordo/Holloman AFB","Alamogordo","NM","US",32.839722000000002,-105.98999999999999
"ALO","Waterloo","Waterloo","IA","US",42.556666999999997,-92.400000000000006
"ALP","Aleppo","Aleppo","","SY",36.179721999999998,37.226111000000003
"ALS","Alamosa","Alamosa","CO","US",37.435833000000002,-105.865278
"ALW","Walla Walla","Walla Walla","WA","US",46.094444000000003,-118.28694400000001
"ALY","Alexandria","Alexandria","","EG",31.183333000000001,29.945833
"ALZ","Alitak","Alitak","AK","US",56.895833000000003,-154.245833
"AMA","Amarillo","Amarillo","TX","US",35.221111000000001,-101.70999999999999
"AMD","Ahmedabad","Ahmedabad","","IN",23.070556,72.62694399999998
"AMH","Arba Mintch","Arba Minch","","ET",6.036111,37.576943999999997
"AMI","Mataram","Mataram","","ID",-8.5600000000000005,116.09694399999999
"AMM","Amman","Amman","","JO",31.723056,35.993611000000001
"AMQ","Ambon","Ambon","","ID",-3.7000000000000002,128.08333300000001
"AMS","Amsterdam","Amsterdam","","NL",52.308056000000001,4.7641669999999996
"AMV","Amderma","Amderma","","RU",69.833332999999996,61.583333000000003
"AMY","Ambatomainty","Ambatomainty","","MG",-17.683333000000001,45.666666999999997
"ANB","Anniston","Anniston","AL","US",33.588056000000002,-85.858056000000005
"ANC","Anchorage","Anchorage","AK","US",61.174722000000003,-149.993889
"ANE","Marce","Angers","","FR",47.560277999999997,-0.312222
"ANF","Antofagasta","Antofagasta","","CL",-23.440000000000001,-70.441944000000021
"ANG","Angouleme","Angouleme","","FR",45.730556,0.220556
"ANI","Aniak","Aniak","AK","US",61.580832999999998,-159.53527800000001
"ANK","Ankara","Ankara","","TR",39.951667,32.688056000000003
"ANM","Antalaha","Antalaha","","MG",-15,50.333333000000003
"ANR","Antwerp","Antwerp","","BE",51.189999999999998,4.46
"ANS","Andahuaylas","Andahuaylas","","PE",-13.716666999999999,-73.355833000000004
"ANU","Antigua, British West Indies","Antigua","","AG",17.141110999999999,-61.785556000000007
"ANV","Anvik","Anvik","AK","US",62.647778000000002,-160.18888899999999
"ANX","Andeness","Andenes","","NO",69.293056000000007,16.141667000000002
"AOC","Altenburg, Germany  Nobitz","Altenburg","","DE",50.981667000000002,12.506111000000001
"AOI","Ancona","Ancona","","IT",43.615278000000004,13.362500000000001
"AOJ","Aomori","Aomori","","JP",40.730556,140.69222199999999
"AOK","Karpathos","Karpathos","","GR",35.42388900000001,27.147221999999999
"AOO","Altoona","Altoona","PA","US",40.296111000000003,-78.320278000000002
"AOR","Alor Setar","Alor Setar","","MY",6.1947219999999996,100.403333
"AOS","Amook","Amook","AK","US",57.466667000000001,-153.83333300000001
"AOT","Corrado Gex Airport","Aosta","","IT",45.73861111111111,7.3625
"APF","Naples","Naples","FL","US",26.151944,-81.77555599999998
"APL","Nampula","Nampula","","MZ",-15.1,39.283332999999999
"APN","Alpena","Alpena","MI","US",45.079999999999998,-83.559721999999979
"APO","Apartado","Apartado","","CO",7.0333329999999998,-77.200000000000003
"APR","Aparri","April River","","PH",18.357222,121.65138899999999
"APW","Apia, Western","Apia","","WS",-13.821667,-171.99166700000001
"AQA","Araraquara","Araraquara","SP","BR",-21.803889000000002,-48.139721999999999
"AQG","Anqing","Anqing","","CN",30.5,117
"AQI","Qaisumah","Qaisumah","","SA",28.334721999999999,46.124443999999997
"AQJ","Aqaba","Aqaba","","JO",29.612500000000001,35.019444
"AQP","Arequipa","Arequipa","","PE",-16.337222000000001,-71.569166999999979
"ARC","Arctic Village","Arctic Village","AK","US",68.137500000000003,-145.52444399999999
"ARH","Arkhangelsk/Talagi","Arkhangelsk","","RU",64.599999999999994,40.718333000000001
"ARI","Arica","Arica","","CL",-18.345832999999999,-70.335832999999994
"ARK","Arusha","Arusha","","TZ",-3.3666670000000001,36.633333
"ARM","Armidale, NSW","Armidale","NS","AU",-30.528333,151.623333
"ARN","Stockholm, Sweden - Arlanda","Stockholm","","SE",59.652500000000003,17.921944
"ARP","Aragip","Aragip","","PG",-6.4500000000000002,141.05000000000001
"ART","Watertown","Watertown","NY","US",43.991667,-76.021944000000005
"ARU","Aracatuba","Aracatuba","SP","BR",-21.143611,-50.425832999999997
"ARV","Minocqua","Minocqua","WI","US",45.929721999999998,-89.726944000000003
"ARW","Arad","Arad","","RO",46.176667000000002,21.263611000000001
"ASA","Assab","Assab","","ER",13.07,42.638333000000003
"ASB","Ashkhabad","Ashgabat","","TM",37.981667000000002,58.360832999999992
"ASD","Andros Town","Andros Town","","BS",24.697778,-77.796110999999982
"ASE","Aspen","Aspen","CO","US",39.223056,-106.868056
"ASF","Narimanovo/Astrakhan","Astrakhan","","RU",46.288333000000002,48.008333
"ASI","Georgetown","Ascension Island","","SH",-16.016667000000002,-5.266667
"ASJ","Amami O Shima","Amami","","JP",28.416944000000001,129.69749999999999
"ASM","Asmara","Asmara","","ER",15.300000000000001,38.916666999999997
"ASO","Asosa","Asosa","","ET",10.047222,34.536667000000001
"ASP","Alice Springs, NT","Alice Springs","NT","AU",-23.808333000000001,133.90083300000001
